ticker,cluster_date,n_insiders,has_ceo,has_cfo,dd_52w,abnormal_5d
BYRN,2021-08-04,3,True,True,-9.151535140054445,-0.3750505750343956
TNYA,2021-08-04,5,False,False,,7.648012478176688
IMRX,2021-08-04,5,True,True,,8.9606198454128
ASTI,2021-08-04,3,False,False,,-24.6849290272856
RXST,2021-08-05,7,False,False,,-6.800025733033091
OBT,2021-08-09,4,True,True,-1.7266173199468327,-1.027541602309856
EWCZ,2021-08-09,3,False,True,,-3.677419952032233
MCHX,2021-08-10,3,False,False,-20.1101927289035,-3.369840755452512
OSPN,2021-08-11,4,True,False,-30.894036178655593,-8.317298802283224
BH,2021-08-12,4,False,False,-7.278020162923293,-1.4429213588026435
ENVX,2021-08-12,3,False,True,-40.794807494689046,-2.616341016245792
KPLT,2021-08-13,5,True,True,-82.45154531168151,0.8076414736961296
KOD,2021-08-13,6,False,False,-45.94758869942274,6.967740517755973
DCOM,2021-08-13,3,False,False,-6.170740216603976,0.5973909255209241
CTO,2021-08-16,3,False,True,-1.2991516940763947,-0.8171023946744594
TALK,2021-08-16,3,False,False,-55.867768725315806,2.8938793828659635
BWB,2021-08-17,4,True,True,-11.71524739188252,3.1479467224462425
GOCO,2021-08-18,3,True,False,-75.39432178343321,-2.8704879111737456
GNK,2021-08-18,9,False,False,-12.00487219506875,12.90692481390022
AEYE,2021-08-18,4,False,False,-75.72704184584185,2.679825673541984
KRMD,2021-08-18,5,False,False,-66.5048545262447,-5.390801746949974
BRSP,2021-08-18,4,True,False,-9.54937157596244,3.288456279523813
APPS,2021-08-19,3,False,False,-49.44057145245427,4.526841940015247
HIPO,2021-08-23,5,False,True,-71.98033707865167,8.892427758784207
VAL,2021-08-23,4,False,False,-15.466664632161454,6.28338338789348
OSCR,2021-08-24,5,False,False,-66.27685758999733,18.32655689693598
REPX,2021-08-25,3,False,False,-67.04555651775253,5.561281392878443
HUMA,2021-08-27,3,True,False,-18.503676742508514,3.8721936565918607
AUID,2021-08-30,3,True,False,-25.599998474121087,2.316200990874633
IVFH,2021-08-30,5,False,False,-59.167786353912696,2.5862497887261786
SLQT,2021-08-30,4,True,True,-72.45972528033535,31.22632499939151
ICMB,2021-08-31,4,False,False,-17.133956524507234,4.159225653303686
SXT,2021-08-31,3,False,False,-2.623469939778489,2.1294620401117843
GDRX,2021-09-02,5,False,False,-30.493352609700743,3.3165539001281257
RM,2021-09-03,3,False,False,-2.877335026812833,4.577578037062291
DUOT,2021-09-03,3,True,False,-40.98939921886321,-0.5832011770986449
CMG,2021-09-08,3,False,False,-0.9768855520502995,-1.3060235485129992
ALTG,2021-09-10,6,False,False,-14.561166507071999,5.700628802938943
TELA,2021-09-13,4,False,False,-30.07390515044849,5.629104935827194
FTAI,2021-09-14,3,False,False,-27.171741384723948,-1.1428196650884992
RAIN,2021-09-15,10,False,False,,-36.44602174732455
TYRA,2021-09-17,15,False,False,,-7.341346783034311
AVTX,2021-09-17,3,False,False,-41.47465372979724,-1.4371541481734005
ACT,2021-09-20,9,True,True,,6.817760439915685
GPOR,2021-09-20,3,False,False,-2.125802865683357,3.5208725222800306
KFS,2021-09-20,6,True,True,-5.78947253944907,-3.007177911824261
PRCT,2021-09-21,16,False,False,,-4.567312614773947
RBOT,2021-09-21,4,False,False,0.0,-3.267971215112616
HAYW,2021-09-22,4,True,True,-14.426351715089925,3.504282788491514
VRDN,2021-09-23,5,False,False,-42.27837879193604,6.3974243192263565
NRDY,2021-09-24,3,False,False,-16.530942810371098,1.6988910015514584
CQP,2021-09-24,13,False,False,-8.81074008830206,0.9301158365148368
TOST,2021-09-27,3,False,False,,3.570482218029268
FEIM,2021-09-28,3,False,False,-14.859433597125726,-0.8464730915086677
AKA,2021-09-28,5,True,False,,-5.578176983856493
RELY,2021-09-29,3,False,False,,6.232714347727661
CRC,2021-09-29,3,False,False,-4.79067352385516,-5.610514939647665
TMC,2021-10-01,3,True,False,,-28.084611334087818
REPX,2021-10-13,3,False,False,-56.297333808771846,-0.6161294368917118
CLST,2021-10-14,9,True,True,,-3.459312938765942
PYXS,2021-10-15,5,False,False,,11.001523878846568
GTLB,2021-10-18,15,False,False,,12.074203443239748
NXTP,2021-10-18,6,False,False,-16.878978667034204,-17.025809319599354
ALTG,2021-10-20,6,False,False,-9.574452191897532,2.0733581431392176
PTPI,2021-10-21,5,False,False,-63.67521367521367,-10.6714163275163
VTYX,2021-10-25,6,False,False,,17.608662962993332
TCBI,2021-10-25,3,False,True,-33.4450372152706,4.605178069567194
CRNX,2021-10-25,3,False,False,-14.070548162784002,12.82404775283974
ADMA,2021-10-26,3,True,True,-54.237288067101815,2.6909106015039885
INTC,2021-10-26,5,True,False,-28.372355378184956,2.3600839002958773
XLO,2021-10-26,8,False,False,,41.7517610932132
ARIS,2021-10-28,3,False,True,-32.76718580026584,-2.082878412441029
UTRS,2021-10-28,7,False,False,,-4.125197886717669
MODD,2021-10-29,5,True,False,,-5.055020473379716
TOST,2021-10-29,6,False,False,,1.3735399763041114
NRDY,2021-10-29,3,False,False,-30.293154676269886,-7.576485936169181
TELA,2021-10-29,4,False,False,-26.833429369438566,-3.6445933023913297
RNR,2021-11-01,5,True,True,-19.289612645867226,2.200378742597114
XRX,2021-11-01,4,False,False,-28.6507998618177,0.1967576436180462
RENT,2021-11-02,3,False,True,,13.983379553482711
SONX,2021-11-02,3,False,False,,3.1669260714867504
TRDA,2021-11-04,22,False,False,,32.49069830945328
AURA,2021-11-04,6,False,False,,-6.688710397355017
OPBK,2021-11-05,3,False,False,-1.799674655504846,1.7249776243935393
CMPX,2021-11-08,4,False,False,-57.50000081279059,-4.266011300910328
BBBY,2021-11-08,3,False,True,-2.1999467861610333,4.80397563585251
BALY,2021-11-09,4,True,True,,0.5725520901478477
CMTG,2021-11-09,6,True,True,,-0.6308645287829674
SZZLU,2021-11-10,3,True,False,,11.85290692985014
CALA,2021-11-10,3,True,False,-85.82964270584077,4.1082422214646055
PRM,2021-11-10,8,True,True,,-1.1700574250276907
MCHX,2021-11-12,3,False,False,-20.1101927289035,-7.3298854316087825
RM,2021-11-12,8,False,False,-7.049756034082744,1.1742667537755107
IOBT,2021-11-12,8,False,False,,-22.54448922175451
XERS,2021-11-12,3,False,False,-71.2751656417121,-8.780091438131864
ATEC,2021-11-15,3,True,False,-38.23216210147156,-8.341885521681249
EHTH,2021-11-15,4,True,False,-67.71653485061664,-14.895945672234005
DNUT,2021-11-15,9,True,False,-31.481617277109763,-3.0744095351865326
TCBX,2021-11-16,4,False,True,,-0.1897667360080265
RIVN,2021-11-17,10,True,True,,-6.851861429892529
WEAV,2021-11-17,5,False,False,,3.5151941995255767
CNTA,2021-11-18,3,True,False,-53.85814410368366,-11.122963928521502
