B_1d,B_3d,B_5d,B_10d,B_20d,A_1d,A_3d,A_5d,A_10d,A_20d,symbol,date
-1.1373185072473424,-0.4926424256707196,0.27629925891456963,1.483963654322995,-11.547396050065917,0.07790463394072855,1.1270880910273284,2.0566967689786275,3.616233328824059,-9.064057343760378,VRTX,2021-05-26
-0.6887384800431495,-0.6780872910953195,0.696519688809516,-1.8096487394530736,-4.670374955633438,0.3501368087709178,0.9351203590105994,1.0365078147775098,-0.9925095560304076,-1.5951491904288018,CLX,2021-05-27
-5.187914822615802,-4.700843555408096,-9.803997099492832,-18.80804428151742,-23.193533442728665,-1.3643696987405196,-2.277875914256078,-5.930210999843111,-16.79532510830957,-15.780898031126256,CHR,2021-06-25
-5.343112533878968,-0.5069428856496749,-4.338743240979603,-8.063376296270153,-0.12664907444532858,3.0813328917737026,3.7368745931524394,2.9466949252424435,-1.7357088292122125,2.5805196325233704,PCG,2021-07-26
-3.829682285365865,-6.457494204035607,-12.727957927501187,-9.03634099355849,-5.15031286250458,-0.10121266275882057,-5.9115689623633,-4.547650199214948,-5.260964948589064,-0.28721165569303153,LVS,2021-07-29
-0.01502508539962255,-1.4562195022758795,-4.143575257781206,-4.0845429126442845,-9.261310607826944,-0.7279908680899561,-3.012048766721309,-4.155559526320351,-2.9249484130912107,-7.983758461449975,CPB,2021-07-30
-10.272700483075138,-10.688031865848867,-10.060676255675128,-8.38527096077527,-11.270536734344606,2.3994721345354852,-0.26064141159571896,1.0869544957321065,4.704586551097045,1.0492951581117405,CLX,2021-08-03
-7.140631456030711,-11.045454899719754,-10.910614299904996,-14.403024422429812,-14.674754504405108,-5.481212553769222,-2.789457535473394,-2.920354369247735,-6.8122482246933735,-6.584436904909541,FMC,2021-08-04
-1.878618017852629,-2.197200873816463,0.9781204033119106,-1.1107293442188748,-0.5680609911610901,-0.9830896785204657,-1.3854435673817833,0.877370588681714,0.44014765068904893,1.8277183977338574,PCAR,2021-08-05
-1.5514130914997093,-2.247825359944522,-2.650292889163819,0.11414231738506864,0.33972293009634225,0.16996215063458386,-1.1870235302292587,-1.723697276937597,1.0200683662701993,6.494890967344079,BAX,2021-08-05
-2.6068242553916376,4.547196220426164,-4.538613550853632,-27.07833059459623,20.725006111010224,2.0734213143212665,4.27104083083043,3.3009093488467256,-23.138319410954757,25.362306306153528,CHR,2021-08-09
-1.7199951269990743,-1.7231624387555544,-1.1817522532607372,-1.2679457221804524,-2.2765083186843893,-0.7433950454269866,-0.2429024260456769,1.4111815226547253,1.5763973959021516,1.69451920767193,HRL,2021-09-03
-0.9120650113134121,-1.3597968776588587,-0.8916234995862693,-4.25021113127968,14.216424380868187,0.284004081903666,-0.5582192145231368,0.071054058275144,-1.9854194030319183,14.268809883788503,TTWO,2021-09-13
-0.7733829673983394,1.0905593402788627,-0.5063663987664446,-0.8280255408330883,-1.4574969842760965,2.080189624864759,2.481016810514125,-0.04271674036077089,1.1203884029987066,-1.6030025379178414,VRTX,2021-09-16
-5.477297521222802,-3.1936108499941884,-1.4242294598317606,-0.8253894088035119,3.205412870493518,-0.27853285923031823,0.5007965600400288,3.965868398077621,4.582778881273053,8.4274314293876,LVS,2021-09-21
-1.3187917947704464,-2.7636960958194123,-1.0067357533204202,-0.4534171253665287,-3.1027949415620815,-0.8853001217416834,-2.3132962979890426,0.20881650050694756,-1.206081060836639,-2.2090384891588544,FIS,2021-09-21
-1.032375161486021,-0.8913235832199495,0.13453376124563654,-0.13312238266550702,4.369831611186448,-1.588686054488242,-1.594813471848533,1.1180417645685115,2.4999396195732215,4.324096787281607,PCAR,2021-09-21
-2.1463753151404474,-4.3646751093554315,0.0024205625619444504,12.770037285605508,12.330468481081837,-0.9925484782138838,0.6177287827445532,18.458212571246378,14.374623848539791,15.328234428887377,DLTR,2021-09-22
-10.095980770113377,-12.459168787470777,-11.791306197963491,-10.90643726454913,-12.94798166054074,-1.2804780259660253,-2.2092642291599573,-2.704870915531077,-1.4499937095543092,-2.349473738969654,FDX,2021-09-22
