sym,announce_day,year,abn_window,abn_day
AAPL,2026-05-01,2026,0.021099576136235032,0.029624404293548956
AAPL,2026-01-30,2026,0.043442011099338984,0.007628738754199893
AAPL,2025-10-31,2025,-0.013821979849047317,-0.0070753241293946
AAPL,2025-08-01,2025,-0.018890699915063758,-0.008613257905908722
AAPL,2025-05-02,2025,-0.07666945370147282,-0.05220586534847882
AAPL,2025-01-31,2025,-0.028305979106144963,-0.0013703718312225721
AAPL,2024-11-01,2024,-0.01932087834389129,-0.01750006627672729
AAPL,2024-08-02,2024,0.005571375999669836,0.025487681226188497
AAPL,2024-05-03,2024,0.02731443924693666,0.04742072288527632
AAPL,2024-02-02,2024,-0.0024596178698010895,-0.01593249876875602
AAPL,2023-11-03,2023,-0.0020964561676088955,-0.01430454218629762
AAPL,2023-08-04,2023,-0.06861136915938626,-0.043497145218483135
AAPL,2023-05-05,2023,0.027720294019658143,0.02841434252001207
AAPL,2023-02-03,2023,0.022709558068465197,0.035029225409968445
AAPL,2022-10-28,2022,0.04258195639185569,0.05176140730181111
AAPL,2022-07-29,2022,0.014863335120382182,0.018214416679456225
AAPL,2022-04-29,2022,-0.0035517441055561427,0.00035052267026658424
AAPL,2022-01-28,2022,0.05443242341507237,0.044942168836891616
AAPL,2021-10-29,2021,-0.027414285823068485,-0.02018549461814212
AAPL,2021-07-28,2021,-0.011434977718885686,-0.011785961762372565
AAPL,2021-04-29,2021,-0.015631236925898295,-0.007121704380094629
AAPL,2021-01-28,2021,-0.05950547136073858,-0.04358547314049965
AAPL,2020-10-30,2020,-0.057464904862435384,-0.04559261937915404
AAPL,2020-07-31,2020,0.11761471551532976,0.0967863285691759
AAPL,2020-05-01,2020,0.021609913915880186,0.01037372921504609
AAPL,2020-01-29,2020,0.017036331787099623,0.021758592209732308
MSFT,2026-04-30,2026,-0.036352704051074824,-0.04924654726339861
MSFT,2026-01-29,2026,-0.10163527497048175,-0.09794706520586338
MSFT,2025-10-30,2025,-0.03608326888911362,-0.01815898893577561
MSFT,2025-07-31,2025,0.04125936986200318,0.04322594147155978
MSFT,2025-05-01,2025,0.0792133214638191,0.06916651077412062
MSFT,2025-01-30,2025,-0.06166742945252035,-0.06717603186339793
MSFT,2024-10-31,2024,-0.03576780270585711,-0.04092424349286672
MSFT,2024-07-31,2024,-0.015601431141569977,-0.02706069212192952
MSFT,2024-04-26,2024,-0.005004602161983396,0.008769885492431628
MSFT,2024-01-31,2024,-0.008329293157410711,-0.010629126258956068
MSFT,2023-10-25,2023,0.01816781170788828,0.045030312967456854
MSFT,2023-07-26,2023,-0.05124685789261152,-0.037791236577534915
MSFT,2023-04-26,2023,0.09119424846587298,0.07667031223833753
MSFT,2023-01-25,2023,0.013254813262783438,-0.00628284441004201
MSFT,2022-10-26,2022,-0.08255399752667947,-0.06962218881441196
MSFT,2022-07-27,2022,0.05846629740055187,0.04088536464263326
MSFT,2022-04-27,2022,0.04368788550929836,0.04529710814722665
MSFT,2022-01-26,2022,0.046776847467347116,0.03100174960309965
MSFT,2021-10-27,2021,0.04074358386776744,0.04654462379611202
MSFT,2021-07-28,2021,-0.003875248274351595,-0.0007067328520048433
MSFT,2021-04-28,2021,-0.042194657099563715,-0.02799828081061717
MSFT,2021-01-27,2021,0.04445842782816589,0.02689383673783985
MSFT,2020-10-28,2020,-0.015637640886160487,-0.01538749092407099
MSFT,2020-07-23,2020,-0.03105524043401764,-0.031562507248759086
MSFT,2020-04-30,2020,0.019418910145394874,0.01934323681353911
MSFT,2020-01-30,2020,0.028003836156483497,0.024961967409555363
NVDA,2026-05-21,2026,-0.04234791735970045,-0.019703634431823658
NVDA,2026-02-26,2026,-0.08360556366673688,-0.04900676433704121
NVDA,2025-11-20,2025,-0.03552770969597374,-0.01628236846835307
NVDA,2025-08-28,2025,-0.0384156515508316,-0.01141583803928281
NVDA,2025-05-29,2025,-0.00045060055662649035,0.028542792789187477
NVDA,2025-02-27,2025,-0.04784067796489022,-0.068818699728459
NVDA,2024-11-21,2024,-0.03549090714125247,-2.188283843373995e-05
NVDA,2024-08-29,2024,-0.059314021051177446,-0.06393824259949654
NVDA,2024-05-23,2024,0.12205244469717325,0.10050089617528501
NVDA,2024-02-22,2024,0.14674432157990958,0.14331307119511183
NVDA,2023-11-22,2023,-0.047887250367418366,-0.028448500394093412
NVDA,2023-08-24,2023,-0.01639746224655525,0.014856296882663322
NVDA,2023-05-25,2023,0.2536060598037879,0.23503657836436065
NVDA,2023-02-23,2023,0.12742046104247207,0.13489451857143675
NVDA,2022-11-17,2022,-0.03295630336057154,-0.011584993998966953
NVDA,2022-08-25,2022,-0.03564936314315392,0.026005675947870843
NVDA,2022-05-26,2022,0.06313769937460822,0.031623723659943925
NVDA,2022-02-17,2022,-0.08052111407774065,-0.0542297301270529
NVDA,2021-11-18,2021,0.12566614518337849,0.07910233861006088
NVDA,2021-08-19,2021,0.08375907254736514,0.03826238181331454
NVDA,2021-05-27,2021,0.03236686791847587,-0.014028129200065909
NVDA,2021-02-25,2021,-0.024983070534038254,-0.058082457667747556
NVDA,2020-11-19,2020,-0.022726903854153102,-0.0033537182403369226
NVDA,2020-08-20,2020,0.038226101774489374,-0.002908423110234537
NVDA,2020-05-22,2020,-0.020795606521213372,0.026704180869141725
NVDA,2020-02-14,2020,0.0962225609570917,0.06860247988539347
NVDA,2019-11-15,2019,0.003889654641451523,-0.03392959325282152
AMZN,2026-04-30,2026,0.007098601600562304,-0.002270229054135431
AMZN,2026-02-06,2026,-0.08683200134352875,-0.07473276061535594
AMZN,2025-10-31,2025,0.1345658509532699,0.09256464693057698
AMZN,2025-08-01,2025,-0.09449805067831474,-0.06630580133956887
AMZN,2025-05-02,2025,-0.02926640638390765,-0.016000812745723847
AMZN,2025-02-07,2025,-0.021400035580329657,-0.031377473290265745
AMZN,2024-11-01,2024,0.04826457218687974,0.057635767953265526
AMZN,2024-08-01,2024,-0.06952736361126477,-0.0014020727630627006
AMZN,2024-05-01,2024,0.04946704320898787,0.02610429380803203
AMZN,2024-02-02,2024,0.06240118619921309,0.06813906848918472
AMZN,2023-10-27,2023,0.10252491154888199,0.07286092837476488
AMZN,2023-08-04,2023,0.0990839737599396,0.08721625722804827
AMZN,2023-04-28,2023,-0.07826891584505347,-0.0483276389272288
AMZN,2023-02-03,2023,-0.07835585293907665,-0.07368574409004724
AMZN,2022-10-28,2022,-0.09318015499066856,-0.09183313643522684
AMZN,2022-07-29,2022,0.09563858382671198,0.08903582203111338
AMZN,2022-04-29,2022,-0.10782466388081358,-0.10353890680530775
AMZN,2022-02-04,2022,0.1360131297143239,0.1306567563529839
